video_url,author,text,time
https://www.youtube.com/watch?v=hzUG58aJ124,@rypandrz, @Kaldudi  itumah ngakak yg ada,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@sahabatnightd9963,5 hari lalu masih di love?,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@kentunggaming1401,Siapa yang,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@yoziavalentino7879,Gak seru ini kata ilham,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@daffaxvi,"Hebat,ggyt ibumu pasti banggga",4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@JustFiiqhu," @Nthnaze  Iya njir gue gak suka sama bocil yang suka paksa brando ganti game, top up, p2w apalagi pake cheat
Zaman udah beda",4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@jauharsinchan5056, @Nthnaze  👍👍👍👍👍👍👍👍,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@apasih939,"Yoi dlu gua sering bet nonton brando gara gara ada bocah p2w bocah android,sekarang udh jarang agak males nonton game ny bocil semua",4 tahun yang lalu (diedit)
https://www.youtube.com/watch?v=hzUG58aJ124,@keanodranantya6922,Wanjay 2 Minggu yg lalu..,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@SecondRealMd3455, @muhammadfaaza3074  Mending rakit pc mending rakit pc,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@santuyhero4583,"Anjir lu perna di pin sama Winda 
Gua Subscriber lu",4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@1Lafe,Bocil android?,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@1Lafe, @a19_muhammadadrian99  paan sih,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@han.4339,dulu 1 jam yg lalu sekarang 1 tahun,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@chloepawapuashusbu980,"Pas gua yg ngelike, seketika jumlah yg like jadi ""666"" konspirasi elite global kah ini?",4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@omxborg160,Wah pasti ibu mu bangga di pin :v,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@muhahaha77,P2w tu apa serius aku tanya,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@omxborg160, @muhahaha77  p2w itu kayak harus membayar demi kemenangan bro jadi harus bayar dan jadinya curang...,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@muhahaha77, @omxborg160  ohhhhhhhhh,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Otomotifrxking135,Bg numpang nanya backsound nya judul nya apa,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@enha9361,Game favorit gua dlu🥰,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@vindicatoritupintar4802, @zakkyfajarsiddiq5432  bapak kau yg gay,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@portgasdace4100,NFS Most Wanted juga ada Cheat nya bro,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@daffatri3637,🙏🙏,4 tahun yang lalu
